taskId,type,product,team,startTime,endTime,duration,mechanics,shift,priority,dependencies,isLatePartTask,isReworkTask,isCritical,slackHours,Scenario,MaxLateness,TotalLateness,InstanceBased
Product E_12,Production,Product E,Mechanic Team 3,2025-09-02T10:15:00,2025-09-02T11:15:00,60,2,1st,267,[],False,False,False,386.7,baseline,-7,0,True
Product E_QI_104,Quality Inspection,Product E,Quality Team 1,2025-09-02T11:00:00,2025-09-02T11:45:00,45,2,1st,268,[],False,False,False,400.0,baseline,-7,0,True
Product E_QI_112,Quality Inspection,Product E,Quality Team 3,2025-09-02T11:15:00,2025-09-02T12:00:00,45,1,1st,269,[],False,False,False,441.45,baseline,-7,0,True
Product E_24,Production,Product E,Mechanic Team 3,2025-09-02T12:00:00,2025-09-02T14:00:00,120,4,1st,270,[],False,False,False,446.7,baseline,-7,0,True
Product E_QI_124,Quality Inspection,Product E,Quality Team 3,2025-09-02T14:00:00,2025-09-02T14:45:00,45,2,1st,271,[],False,False,False,500.2,baseline,-7,0,True
Product E_13,Production,Product E,Mechanic Team 4,2025-09-02T23:00:00,2025-09-02T23:30:00,30,1,3rd,272,[],False,False,False,441.2,baseline,-7,0,True
Product E_31,Production,Product E,Mechanic Team 1,2025-09-03T06:00:00,2025-09-03T06:30:00,30,1,1st,273,[],False,False,False,485.7,baseline,-7,0,True
LP_302,Late Part,Product E,Mechanic Team 2,2025-09-03T14:30:00,2025-09-03T16:00:00,90,1,2nd,274,[],True,False,False,496.45,baseline,-7,0,True
Product E_18,Production,Product E,Mechanic Team 3,2025-09-04T06:00:00,2025-09-04T08:00:00,120,3,1st,275,[],False,False,False,486.95,baseline,-7,0,True
Product E_QI_118,Quality Inspection,Product E,Quality Team 3,2025-09-04T08:00:00,2025-09-04T08:45:00,45,2,1st,276,[],False,False,False,512.95,baseline,-7,0,True
LP_308,Late Part,Product B,Mechanic Team 2,2025-09-04T14:30:00,2025-09-04T15:45:00,75,1,2nd,277,[],True,False,False,465.5,baseline,-7,0,True
LP_303,Late Part,Product E,Mechanic Team 1,2025-09-08T06:00:00,2025-09-08T08:30:00,150,3,1st,278,[],True,False,False,177.2,baseline,-7,0,True
Product E_5,Production,Product E,Mechanic Team 2,2025-09-08T14:30:00,2025-09-08T15:10:00,40,1,2nd,279,[],False,False,False,170.7,baseline,-7,0,True
Product E_28,Production,Product E,Mechanic Team 2,2025-09-08T22:50:00,2025-09-09T00:20:00,90,3,2nd,280,[],False,False,False,307.1666666666667,baseline,-7,0,True
Product E_11,Production,Product E,Mechanic Team 4,2025-09-08T23:00:00,2025-09-08T23:20:00,20,1,3rd,281,[],False,False,False,201.2,baseline,-7,0,True
Product E_22,Production,Product E,Mechanic Team 4,2025-09-08T23:20:00,2025-09-09T00:20:00,60,2,3rd,282,[],False,False,False,275.4166666666667,baseline,-7,0,True
Product E_QI_122,Quality Inspection,Product E,Quality Team 4,2025-09-09T00:20:00,2025-09-09T01:05:00,45,1,3rd,283,[],False,False,False,357.6666666666667,baseline,-7,0,True
Product E_27,Production,Product E,Mechanic Team 4,2025-09-09T01:05:00,2025-09-09T01:25:00,20,1,3rd,284,[],False,False,False,357.9166666666667,baseline,-7,0,True
Product E_QI_127,Quality Inspection,Product E,Quality Team 4,2025-09-09T01:25:00,2025-09-09T02:10:00,45,1,3rd,285,[],False,False,False,425.3333333333333,baseline,-7,0,True
Product E_37,Production,Product E,Mechanic Team 4,2025-09-09T02:10:00,2025-09-09T02:40:00,30,1,3rd,286,[],False,False,False,426.0833333333333,baseline,-7,0,True
Product E_23,Production,Product E,Mechanic Team 5,2025-09-09T06:00:00,2025-09-09T06:30:00,30,1,1st,287,[],False,False,False,227.95,baseline,-7,0,True
Product E_10,Production,Product E,Mechanic Team 1,2025-09-09T06:00:00,2025-09-09T08:00:00,120,4,1st,288,[],False,False,False,235.45,baseline,-7,0,True
Product E_30,Production,Product E,Mechanic Team 3,2025-09-09T06:00:00,2025-09-09T07:00:00,60,2,1st,289,[],False,False,False,287.5,baseline,-7,0,True
Product E_44,Production,Product E,Mechanic Team 5,2025-09-09T06:00:00,2025-09-09T07:30:00,90,3,1st,290,[],False,False,False,368.5,baseline,-7,0,True
LP_306,Late Part,Product D,Mechanic Team 1,2025-09-09T06:00:00,2025-09-09T06:45:00,45,1,1st,291,[],True,False,False,570.0,baseline,-7,0,True
Product E_29,Production,Product E,Mechanic Team 5,2025-09-09T06:30:00,2025-09-09T07:10:00,40,1,1st,292,[],False,False,False,289.95,baseline,-7,0,True
Product E_QI_130,Quality Inspection,Product E,Quality Team 3,2025-09-09T07:00:00,2025-09-09T07:45:00,45,1,1st,293,[],False,False,False,303.75,baseline,-7,0,True
Product E_QI_144,Quality Inspection,Product E,Quality Team 5,2025-09-09T07:30:00,2025-09-09T08:15:00,45,2,1st,294,[],False,False,False,405.5,baseline,-7,0,True
Product E_QI_110,Quality Inspection,Product E,Quality Team 1,2025-09-09T08:00:00,2025-09-09T08:45:00,45,2,1st,295,[],False,False,False,313.95,baseline,-7,0,True
